DATE,TIME,PAIR,TYPE,RESULT,GROWTH %,COMMENTS,TRADE IMAGE
08/01/2024,3-4pm,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/oP2kIPbC/
08/01/2024,8-9am,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/bh1z3kJS/
09/01/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/vtN8sFpD/
09/01/2024,3-4pm,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/opCayPrg/
09/01/2024,3-4pm,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/opCayPrg/
10/01/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/z7tOmJsU/
10/01/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/z7tOmJsU/
10/01/2024,3-4pm,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/L0D5EizQ/
11/01/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/WNsyiK26/
11/01/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/WNsyiK26/
12/01/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/FORtAApX/
12/01/2024,3-4pm,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/6EcVenB1/
12/01/2024,3-4pm,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/6EcVenB1/
15/01/2024,3-4pm,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/UQDXffZ6/
15/01/2024,3-4pm,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/UQDXffZ6/
16/01/2024,3-4pm,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/z3gsH1ck/
16/01/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/7NiKpuQ6/
16/01/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/7NiKpuQ6/
17/01/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/LxOrH8Nk/
17/01/2024,3-4pm,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/EN05Cjiw/
17/01/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/LxOrH8Nk/
18/01/2024,3-4pm,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/zwJvbNIo/
18/01/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/NAS8f75M/
19/01/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/TotZrkut/
19/01/2024,3-4pm,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/AnXK7nRN/
22/01/2024,3-4pm,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/UC87VnFl/
22/01/2024,3-4pm,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/UC87VnFl/
22/01/2024,8-9am,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/kQzsMKp8/
23/01/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/C9l1hYwW/
23/01/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/C9l1hYwW/
25/01/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/ccDO54kh/
25/01/2024,3-4pm,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/7kBLgvIC/
25/01/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/ccDO54kh/
26/01/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/B40vkO1Q/
26/01/2024,3-4pm,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/oQrWm67v/
29/01/2024,8-9am,EUR/USD,,WON,0.02,,https://www.tradingview.com/x/Ow3w8rPm/
29/01/2024,3-4pm,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/PDNHfX9L/
29/01/2024,3-4pm,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/CtbgZrbv/
29/01/2024,1-2pm,EUR/USD,BUY,WON,0.005,turned sl into sp but price reached 2%,https://www.tradingview.com/x/R3B4Gj4y/
31/01/2024,3-4pm,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/fcnSMPA0
06/02/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/lCwbhJVT/
06/02/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/lCwbhJVT/
07/02/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/aT6G5yiO/
08/02/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/wXv2F2YD/
09/02/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/2xZCGfhW/
13/02/2024,8-9am,EUR/USD,BUY,LOST,-0.01,market showing too much consolidation,https://www.tradingview.com/x/yWosWJ8X/
13/02/2024,8-9am,EUR/USD,SELL,LOST,-0.01,hit stop loss just over 0.003 pips then went to hit tp,https://www.tradingview.com/x/yWosWJ8X/
14/02/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/bgXByCFW/
15/02/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/I9XnO7p5/
15/02/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/I9XnO7p5/
16/02/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/wILizbgk/
16/02/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/wILizbgk/
20/02/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/nAEA28AV/
20/02/2024,8-9am,EUR/USD,SELL,LOST,-0.01,Hit Stop loss just over by 0.05 pips then went on to hit TP,https://www.tradingview.com/x/nAEA28AV/
20/02/2024,8-9am,EUR/USD,SELL,LOST,-0.01,Due to technical issues unable to use MT4,https://www.tradingview.com/x/jPAeXu9A/
20/02/2024,8-9am,EUR/USD,BUY,LOST,-0.01,Due to technical issues unable to use MT4,https://www.tradingview.com/x/jPAeXu9A/
21/02/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/IpmC0m7R/
23/02/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/D8LHk3HM/
23/02/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/D8LHk3HM/
27/02/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/CIofKiw5/
28/02/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/GaQCU7LE/
05/03/2024,10-11am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/0thUOoum/
06/03/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/1BsLBqi3/
07/03/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/DgTheg4V/
13/03/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/gKguB9S3/
13/03/2024,7-8pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/jsAx6VXf/
14/03/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/0cRHAH58/
14/03/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/0cRHAH58/
15/03/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/opTp4LLH/
18/03/2024,7-8pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/YPYePQ9D/
21/03/2024,7-8pm,US100,SELL,LOST,-0.01,,https://www.tradingview.com/x/Xiu4PCES/
22/03/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/ogpDsr5V/
26/03/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/bhMy0CNV/
27/03/2024,7-8pm,US100,BUY,WON,0.02,,https://www.tradingview.com/x/7CGPFKKl/
02/04/2024,7-8pm,US100,BUY,LOST,-0.01,,https://www.tradingview.com/x/TS2GdqON/
02/04/2024,7-8pm,US100,SELL,LOST,-0.01,,https://www.tradingview.com/x/TS2GdqON/
03/04/2024,7-8pm,US100,SELL,LOST,-0.01,,https://www.tradingview.com/x/aqdlsyJT/
04/04/2024,3-4pm,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/F5KkGzwQ/
08/04/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/8mvQD0A9/
09/04/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/ZYaxsF7P/
10/04/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/oNNGMIkE/
15/04/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/htf2wPlv/
16/04/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/dTeCQmSW/
16/04/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/dTeCQmSW/
19/04/2024,11-12am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/JnULC3zd/
22/04/2024,9-10am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/LXih7mHg/
22/04/2024,3-4pm,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/loREv8hI/
23/04/2024,10-11am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/t8eJ7SPx/
24/04/2024,6-7am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/KLAGOjzQ/
24/04/2024,6-7am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/KLAGOjzQ/
25/04/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/ggi52wbm/
25/04/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/ggi52wbm/
26/04/2024,9-10am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/dYMxHipu/
29/04/2024,7-8am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/2mHpO5lK/
29/04/2024,7-8am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/2mHpO5lK/
30/04/2024,7-8am,EUR/USD,,LOST,-0.01,,https://www.tradingview.com/x/R37MlB9B/
30/04/2024,11-12am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/ZH5JnIIi/
02/05/2024,9-10am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/Z8LO8R7q/
03/05/2024,7-8am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/UKQA9BG6/
03/05/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/UKQA9BG6/
07/05/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/LBljX3lW/
07/05/2024,6-7pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/mrbwdJYq/
08/05/2024,8-9am,EUR/USD,SELL,LOST,-0.01,commission loss,https://www.tradingview.com/x/pbbif2nW/
09/05/2024,3-4pm,US100,SELL,LOST,-0.01,,https://www.tradingview.com/x/PouJyseP/
09/05/2024,7-8pm,US100,BUY,WON,0.02,,https://www.tradingview.com/x/aPA33bjE/
10/05/2024,8-9am,EUR/USD,BUY,WON,0.01,Trade went on too long so took 1%,https://www.tradingview.com/x/C8DYPyjQ/
13/05/2024,3-4pm,US100,SELL,LOST,-0.01,,https://www.tradingview.com/x/2ddlu5n7/
15/05/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/byb9ZEG7/
15/05/2024,2-3pm,US100,SELL,WON,0.02,,https://www.tradingview.com/x/GE9AsSrt/
16/05/2024,2-3pm,US100,BUY,WON,0.02,,https://www.tradingview.com/x/poxWdLdx/
16/05/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/ScxTcZDY/
21/05/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/mWSdGNZv/
21/05/2024,3-4pm,US100,BUY,WON,0.02,,https://www.tradingview.com/x/NRfcM9pv/
22/05/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/g2nxeyEl/
24/05/2024,8-9am,EUR/USD,SELL,LOST,-0.01,,https://www.tradingview.com/x/MHg4sdzc/
24/05/2024,8-9am,EUR/USD,BUY,LOST,-0.01,,https://www.tradingview.com/x/MHg4sdzc/
28/05/2024,8-9am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/V3m68gG3/
30/05/2024,8-9am,EUR/USD,BUY,WON,0.02,,https://www.tradingview.com/x/iZD1JpWf/
04/06/2024,10-11am,EUR/USD,SELL,WON,0.02,,https://www.tradingview.com/x/GjU8OwaT/
06/06/2024,7-8pm,US100,SELL,WON,0.02,Highest price US100 has been so far,https://www.tradingview.com/x/slH3ETMi/
07/06/2024,8-9am,EUR/USD,BUY,LOST,-0.01,Non Farm Payroll,https://www.tradingview.com/x/p01gVGR1/
